,suspect,items
0,A,"Flashlight, Corned Beef, Salt, Eggs, Salad, Tuna, Garbage Bag, Mayo"
1,A,"Bandages, Water Bottle, Catnips, Rope, Salt, Mayo, Tomatoes, Flashlight, Disposable Gloves, Garbage Bag"
2,A,"Bandages, Bread, Salad, Batteries, Salt, Tomatoes, Corned Beef, Skyflakes"
3,A,"Eggs, Water Bottle, Bread, Catnips, Batteries, Disposable Gloves, Salt"
4,A,"Eggs, Water Bottle, Bread, Catnips, Tuna, Batteries, Salt, Mayo, Disposable Gloves, Garbage Bag, Skyflakes"
5,A,"Bandages, Bread, Tuna, Batteries, Rope, Mayo, Corned Beef, Garbage Bag, Skyflakes"
6,A,"Bandages, Bread, Salad, Catnips, Batteries, Rope, Mayo, Salt, Flashlight"
7,A,"Bandages, Eggs, Batteries, Rope, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves"
8,A,"Bandages, Eggs, Water Bottle, Bread, Salad, Tuna, Catnips, Rope, Mayo, Salt, Flashlight, Corned Beef, Skyflakes"
9,A,"Bandages, Water Bottle, Catnips, Tuna, Salad, Mayo, Disposable Gloves, Corned Beef, Skyflakes"
10,A,"Tomatoes, Flashlight, Eggs, Water Bottle, Catnips, Corned Beef, Rope, Salt"
11,A,"Bandages, Eggs, Tuna, Rope, Mayo, Salt, Flashlight, Disposable Gloves, Corned Beef, Skyflakes"
12,A,"Water Bottle, Bread, Catnips, Tuna, Batteries, Rope, Salt, Salad, Mayo, Corned Beef"
13,A,"Bandages, Eggs, Catnips, Tuna, Salad, Batteries, Salt, Mayo, Tomatoes, Flashlight, Corned Beef, Garbage Bag"
14,A,"Bandages, Bread, Catnips, Tuna, Batteries, Rope, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves"
15,A,"Bandages, Eggs, Catnips, Salad, Batteries, Tuna, Salt, Mayo, Tomatoes, Flashlight, Corned Beef, Skyflakes"
16,A,"Eggs, Bread, Catnips, Salad, Mayo, Salt, Tomatoes, Corned Beef"
17,A,"Bandages, Eggs, Water Bottle, Bread, Catnips, Batteries, Salt, Corned Beef, Garbage Bag, Skyflakes"
18,A,"Bandages, Catnips, Salad, Batteries, Rope, Salt, Flashlight, Disposable Gloves, Skyflakes"
19,A,"Bandages, Eggs, Water Bottle, Salad, Tuna, Batteries, Salt, Mayo, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
20,A,"Bandages, Water Bottle, Batteries, Rope, Mayo, Tomatoes, Flashlight, Disposable Gloves, Garbage Bag, Skyflakes"
21,A,"Water Bottle, Bread, Salad, Tuna, Catnips, Salt, Mayo, Tomatoes, Disposable Gloves, Skyflakes"
22,A,"Bandages, Eggs, Water Bottle, Bread, Salad, Rope, Mayo, Salt, Corned Beef, Garbage Bag, Skyflakes"
23,A,"Bandages, Eggs, Water Bottle, Salad, Salt, Tomatoes, Disposable Gloves, Garbage Bag, Skyflakes"
24,A,"Bandages, Water Bottle, Bread, Salad, Catnips, Batteries, Rope, Tomatoes, Corned Beef, Skyflakes"
25,A,"Eggs, Tuna, Salt, Mayo, Tomatoes, Flashlight, Disposable Gloves, Corned Beef, Garbage Bag"
26,A,"Bandages, Water Bottle, Catnips, Batteries, Rope, Salt, Mayo, Disposable Gloves"
27,A,"Eggs, Salad, Catnips, Rope, Mayo, Salt, Tomatoes, Corned Beef, Garbage Bag, Skyflakes"
28,A,"Bandages, Eggs, Rope, Mayo, Salt, Tomatoes, Disposable Gloves, Corned Beef, Garbage Bag, Skyflakes"
29,A,"Bandages, Water Bottle, Bread, Tuna, Batteries, Salt, Mayo, Tomatoes, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
30,A,"Bandages, Water Bottle, Salad, Tuna, Batteries, Rope, Mayo, Salt, Tomatoes, Garbage Bag"
31,A,"Eggs, Water Bottle, Catnips, Batteries, Mayo, Salt, Tomatoes, Flashlight, Corned Beef, Garbage Bag, Skyflakes"
32,A,"Bandages, Eggs, Water Bottle, Bread, Salad, Catnips, Tuna, Rope, Mayo, Salt, Tomatoes, Disposable Gloves, Skyflakes"
33,A,"Eggs, Water Bottle, Bread, Salad, Tuna, Rope, Mayo, Salt, Tomatoes, Flashlight, Disposable Gloves, Skyflakes"
34,A,"Bandages, Bread, Salad, Tuna, Salt, Mayo, Flashlight, Garbage Bag, Skyflakes"
35,A,"Eggs, Catnips, Salad, Batteries, Rope, Tuna, Mayo, Salt, Corned Beef, Skyflakes"
36,A,"Bandages, Water Bottle, Bread, Catnips, Salad, Batteries, Rope, Salt, Tuna, Mayo, Tomatoes, Garbage Bag, Skyflakes"
37,A,"Bandages, Water Bottle, Bread, Salad, Tuna, Mayo, Salt, Corned Beef"
38,A,"Eggs, Bread, Catnips, Salad, Batteries, Rope, Salt, Tuna, Mayo, Tomatoes, Disposable Gloves, Corned Beef"
